,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2021-05-21,0,2,2,1.5680731534957886,0.7840365767478943
2021-05-22,1,0,1,0.0771370381116867,0.0771370381116867
2021-05-23,4,1,5,1.8477340247482061,0.3695468049496412
2021-05-24,2,9,11,8.17213598638773,0.7429214533079754
2021-05-25,1,4,5,3.3232278674840927,0.6646455734968185
2021-05-26,2,0,2,0.19213934242725372,0.09606967121362686
2021-05-27,6,1,7,1.6492637461051345,0.2356091065864478
2021-05-28,1,1,2,0.6528887376189232,0.3264443688094616
2021-05-29,2,1,3,1.0700866654515266,0.3566955551505089
2021-05-30,2,2,4,1.9730111360549927,0.49325278401374817
2021-05-31,0,3,3,2.4338279962539673,0.8112759987513224
2021-06-01,0,1,1,0.8234812021255493,0.8234812021255493
2021-06-02,4,3,7,3.1187520367093384,0.4455360052441912
2021-06-03,3,6,9,5.393603730946779,0.599289303438531
2021-06-04,5,0,5,0.6668847799301147,0.13337695598602295
2021-06-05,2,2,4,1.819637455046177,0.4549093637615442
2021-06-06,4,1,5,1.0436537265777588,0.20873074531555175
2021-06-07,3,5,8,4.814729365054518,0.6018411706318147
2021-06-08,4,4,8,3.7020582538098097,0.4627572817262262
2021-06-09,3,7,10,6.475078918039799,0.6475078918039798
2021-06-10,2,2,4,1.781254113651812,0.445313528412953
2021-06-11,5,9,14,7.580580327659845,0.5414700234042746
2021-06-12,2,3,5,2.5979790575802326,0.5195958115160465
2021-06-13,1,2,3,2.198067843914032,0.7326892813046774
2021-06-14,2,4,6,3.671458438038826,0.6119097396731377
2021-06-15,2,0,2,0.12129266187548637,0.06064633093774319
2021-06-16,0,3,3,2.799604594707489,0.933201531569163
2021-06-17,1,4,5,3.2173258550465107,0.6434651710093021
2021-06-18,2,7,9,6.784768305718899,0.7538631450798776
2021-06-19,0,2,2,1.6948118805885315,0.8474059402942657
2021-06-20,2,1,3,0.7006952185183764,0.2335650728394588
2021-06-21,2,3,5,3.025264819152653,0.6050529638305306
2021-06-22,4,3,7,2.955861698836088,0.42226595697658403
2021-06-23,2,0,2,0.460811972618103,0.2304059863090515
2021-06-24,3,7,10,6.088144822046161,0.6088144822046161
2021-06-25,5,3,8,4.018307626247406,0.5022884532809258
2021-06-26,2,2,4,2.442707911133766,0.6106769777834415
2021-06-27,4,5,9,4.402571452781558,0.4891746058646176
2021-06-28,1,5,6,4.54685472138226,0.7578091202303767
2021-06-29,1,3,4,3.135191887617111,0.7837979719042778
2021-06-30,3,2,5,2.107292301952839,0.4214584603905678
2021-07-01,2,1,3,0.6315534599125385,0.21051781997084618
2021-07-02,1,0,1,0.0470951646566391,0.0470951646566391
2021-07-03,2,2,4,2.1708102226257324,0.5427025556564331
2021-07-04,0,3,3,2.510727345943451,0.8369091153144836
2021-07-05,3,7,10,5.706802593544126,0.5706802593544126
2021-07-06,0,2,2,1.533504843711853,0.7667524218559265
2021-07-07,0,0,0,0.0,0.5
2021-07-08,1,0,1,0.006535976193845272,0.006535976193845272
2021-07-09,4,5,9,4.29700283287093,0.47744475920788115
2021-07-10,3,1,4,1.0266075218096375,0.2566518804524094
2021-07-11,1,4,5,3.6093894243240356,0.7218778848648071
2021-07-12,2,1,3,0.7336281659081578,0.24454272196938595
2021-07-13,2,0,2,0.39838689286261797,0.19919344643130898
2021-07-14,2,4,6,3.8399802967906,0.6399967161317667
2021-07-15,3,0,3,0.5475263427942991,0.18250878093143305
2021-07-16,1,2,3,1.9624432176351547,0.6541477392117182
2021-07-17,1,0,1,0.45216885209083557,0.45216885209083557
2021-07-18,4,0,4,0.08022247441112995,0.020055618602782488
2021-07-19,1,1,2,1.0021424926817417,0.5010712463408709
2021-07-20,1,4,5,3.3743150178343058,0.6748630035668611
2021-07-21,0,1,1,0.5782784223556519,0.5782784223556519
2021-07-22,2,3,5,2.5760793769732118,0.5152158753946423
2021-07-23,0,14,14,10.778832912445068,0.7699166366032192
2021-07-24,3,1,4,0.9299862529151142,0.23249656322877854
2021-07-25,3,2,5,1.9167717890813947,0.3833543578162789
2021-07-26,3,1,4,0.7618331201374531,0.19045828003436327
2021-07-27,1,5,6,4.422734096646309,0.7371223494410515
2021-07-28,11,9,20,8.181734312791377,0.4090867156395689
2021-07-29,4,3,7,2.2925854129716754,0.3275122018530965
2021-07-30,12,6,18,7.293480311520398,0.4051933506400221
2021-07-31,13,11,24,10.488174088299274,0.43700725367913645
2021-08-01,105,35,140,47.24148178612813,0.33743915561520094
2021-08-02,29,11,40,13.271425467450172,0.33178563668625427
2021-08-03,11,14,25,11.512452686205506,0.46049810744822023
2021-08-04,23,14,37,13.744344040751457,0.3714687578581475
2021-08-05,13,7,20,6.597901283297688,0.3298950641648844
2021-08-06,11,12,23,10.345013580750674,0.4497831991630728
